Sensor_48,Sensor_80,Sensor_112,Sensor_176,Sensor_87,Sensor_103,Sensor_88,Sensor_89,Sensor_104,Sensor_105,Sensor_91,Sensor_107,Label
552,506,146,451,1122,1322,1700,1666,1933,1911,157,468,normal
537,472,162,462,1338,1567,1801,1712,1949,1877,129,412,normal
535,487,163,458,1385,1591,1770,1596,1851,1698,101,363,normal
546,477,155,441,1341,1565,1827,1716,1938,1768,139,419,normal
555,479,159,464,1364,1587,1848,1703,1971,1806,147,429,normal
543,484,150,468,1358,1588,1827,1703,1965,1793,140,447,normal
559,504,162,477,1378,1596,1827,1676,1930,1746,136,430,normal
562,492,155,477,1453,1657,1886,1698,1937,1753,131,396,normal
561,506,165,475,1434,1668,1922,1739,1988,1786,138,416,normal
552,511,150,477,1456,1670,1948,1771,2012,1816,141,433,normal
567,517,151,474,1459,1667,1973,1830,2054,1885,149,447,normal
565,506,157,468,1473,1684,1977,1833,2074,1889,160,466,normal
567,509,154,475,1476,1682,2009,1829,2071,1894,149,454,normal
574,507,148,474,1483,1675,2011,1851,2109,1930,160,467,normal
566,493,154,471,1448,1659,2015,1870,2123,1966,150,477,normal
563,506,145,469,1486,1676,2036,1861,2127,1954,156,465,normal
562,511,154,478,1490,1680,2033,1902,2108,1973,167,464,normal
572,504,152,478,1582,1813,2012,1788,2039,1785,133,396,normal
556,502,153,471,1495,1688,2002,1850,2064,1894,143,462,normal
549,508,156,480,1493,1685,1947,1798,1991,1839,142,438,normal
563,493,153,480,1444,1663,1891,1757,1990,1837,141,446,normal
552,514,156,477,1464,1675,1959,1809,2034,1908,146,462,normal
594,571,149,544,1503,1832,1033,756,1130,677,0,23,normal
632,577,141,539,1467,1647,1244,1058,1294,964,29,157,normal
584,554,132,493,968,1023,1376,1513,1731,1670,152,565,normal
539,512,154,417,927,811,1083,994,1283,1395,79,362,normal
427,406,164,387,776,772,898,845,1203,1408,166,362,normal
437,408,175,399,866,764,1019,969,1244,1459,165,367,normal
442,389,177,382,761,778,873,854,1232,1462,189,342,normal
429,391,176,390,829,811,940,940,1257,1497,174,372,normal
443,399,160,377,812,803,913,918,1252,1521,190,356,normal
442,398,159,389,837,822,944,949,1300,1500,208,377,normal
428,397,167,375,925,867,990,945,1362,1544,203,385,normal
337,356,174,374,1212,1316,1778,1653,2251,2274,306,719,normal
328,339,167,349,864,1012,1133,1128,1640,1845,332,526,normal
427,444,128,451,1665,1350,1838,1638,2220,2299,328,704,normal
230,287,186,378,817,1426,2422,2619,5014,4311,453,1047,normal
292,379,155,373,1318,1092,1548,1434,1973,2059,323,733,normal
385,453,137,468,1646,1339,1880,1723,2334,2350,461,795,normal
426,490,128,466,1576,1209,1672,1523,2024,2100,437,728,normal
443,483,119,469,1369,1245,1630,1556,2088,2142,439,755,normal
336,341,160,349,983,1157,1241,1202,1864,1920,367,681,normal
342,370,153,351,975,1156,1227,1204,1862,1911,347,638,normal
339,352,146,367,992,1171,1256,1195,1872,1907,344,622,normal
347,348,150,371,999,1166,1265,1198,1892,1906,300,606,normal
342,357,153,361,992,1172,1264,1213,1887,1887,369,618,normal
355,366,140,363,1015,1183,1318,1221,1852,1887,389,609,normal
346,363,129,364,1003,1171,1311,1220,1865,1893,379,627,normal
346,367,142,361,1025,1184,1312,1249,1882,1917,379,605,normal
261,301,167,336,732,803,1984,3090,3704,4322,752,1073,normal
294,332,154,367,1381,2955,2395,1510,4656,1560,38,133,normal
326,350,157,391,1939,1608,1891,1026,2435,971,0,0,normal
332,386,151,374,1563,1663,1722,848,3053,1031,0,0,normal
334,389,161,387,1723,2088,1986,993,3928,1250,0,0,normal
321,360,152,352,1964,4033,2438,1162,5649,1498,0,22,normal
298,328,149,331,1992,4396,2723,1401,5728,1722,13,155,normal
307,325,143,336,2138,4569,2949,1510,5641,1725,32,209,normal
309,328,147,343,2215,4571,3122,1645,5685,1756,42,206,normal
317,351,137,359,2021,2673,2343,1108,5180,1478,0,0,normal
326,373,147,386,1789,1914,1822,899,2723,995,0,0,normal
324,355,151,364,1864,2585,2195,997,4693,1240,0,0,normal
331,353,148,357,1928,3190,2146,898,5388,1344,0,0,normal
307,315,153,315,1399,2610,2850,2152,4158,2131,184,443,normal
280,318,145,322,785,1202,2176,2496,2889,2743,349,764,normal
292,314,149,316,848,1443,2363,2649,3340,2954,350,786,normal
283,320,149,334,967,1875,2909,2988,4382,3524,394,843,normal
298,314,146,330,1042,2024,3066,3220,4627,3607,432,878,normal
310,349,142,348,1185,1983,2619,2233,3407,2150,274,568,normal
321,362,152,376,1043,1475,2391,2431,2820,2307,354,723,normal
341,379,141,360,1056,1473,2223,2246,2609,2124,351,704,normal
365,405,143,407,1064,1390,2013,2013,2255,2036,301,646,normal
327,388,137,394,1209,1350,2175,2298,2264,2351,310,732,normal
526,508,110,494,970,870,1194,1217,1130,1198,124,361,normal
584,501,118,475,1028,989,1246,1200,1181,1232,125,360,normal
525,456,147,463,1172,1190,1472,1429,1491,1429,131,414,normal
518,487,136,491,1093,1093,1440,1452,1479,1472,147,451,normal
301,336,191,304,656,871,1750,2361,2375,2583,344,787,normal
481,536,235,466,775,717,843,903,933,918,136,335,normal
494,474,183,459,860,879,1207,1218,1265,1283,166,437,normal
493,546,237,477,1105,1063,1931,1923,1588,1697,299,633,normal
506,589,282,493,1338,1201,2265,2098,1611,1632,376,632,normal
466,527,299,616,896,850,1106,1151,1045,1056,246,435,normal
487,557,301,569,962,951,1268,1268,1157,1145,275,504,normal
493,525,288,549,1033,1035,1418,1431,1266,1266,288,523,normal
304,369,193,505,1061,979,2010,1903,1452,1421,294,553,normal
441,502,233,436,1348,1393,1853,1678,1615,1361,322,509,normal
493,533,247,539,1213,1189,1708,1687,1560,1534,261,568,normal
543,527,208,517,1305,1309,1817,1754,1682,1641,261,587,normal
513,533,209,505,1165,1133,1727,1734,1652,1714,292,593,normal
522,536,197,519,1195,1141,1750,1757,1675,1710,286,599,normal
520,537,207,523,1180,1159,1740,1740,1670,1718,279,614,normal
519,530,207,523,1185,1165,1763,1777,1678,1726,280,621,normal
518,552,208,531,1247,1192,1845,1838,1711,1753,285,613,normal
524,534,207,533,1242,1201,1832,1832,1723,1758,282,613,normal
525,546,214,510,1233,1191,1827,1813,1697,1753,277,616,normal
535,563,211,531,1263,1193,1829,1822,1684,1726,290,614,normal
530,541,211,524,1278,1207,1884,1833,1737,1794,291,627,normal
532,549,215,523,1281,1204,1942,1905,1764,1814,305,644,normal
540,558,219,530,1304,1209,1938,1924,1754,1796,289,618,normal
532,545,212,527,1295,1217,1950,1928,1765,1829,305,634,normal
535,551,216,533,1324,1207,1994,1949,1758,1808,310,617,normal
533,555,206,531,1322,1235,1976,1939,1778,1814,306,624,normal
541,558,216,518,1408,1339,1974,1885,1726,1656,279,570,normal
480,525,222,526,1399,1435,1840,1686,1660,1473,247,494,normal
558,539,222,558,1277,1268,1387,1253,1280,1121,152,354,normal
534,521,209,537,1288,1245,1649,1549,1514,1482,209,482,normal
530,531,207,521,1218,1191,1784,1749,1666,1728,247,577,normal
541,544,207,530,1228,1172,1736,1743,1610,1658,280,609,normal
553,548,197,528,1275,1218,1828,1792,1700,1727,263,619,normal
547,573,207,533,1314,1252,1866,1788,1690,1704,255,596,normal
554,560,197,525,1331,1262,1851,1772,1660,1666,268,572,normal
553,567,213,520,1386,1337,1922,1842,1681,1702,249,565,normal
559,560,207,526,1393,1311,2000,1896,1751,1737,270,591,normal
563,552,208,520,1378,1313,2021,1932,1775,1811,271,621,normal
556,563,208,529,1374,1308,2040,1950,1778,1806,275,631,normal
551,562,215,511,1399,1327,2046,1948,1808,1830,275,634,normal
563,589,207,530,1453,1391,2091,1950,1837,1794,289,629,normal
460,520,234,568,1329,1402,1687,1520,1564,1371,184,450,normal
630,613,256,568,1016,949,941,878,907,755,106,294,normal
519,511,205,511,1386,1286,1782,1546,1622,1530,164,491,normal
523,514,212,499,1282,1238,1678,1520,1631,1526,185,502,normal
544,544,207,504,1297,1209,1719,1571,1593,1521,197,527,normal
561,563,226,518,1348,1248,1634,1456,1485,1389,195,468,normal
147,166,134,536,80,5,250,442,319,316,1760,3930,left
150,163,148,537,126,79,242,431,316,340,1590,3618,left
145,165,160,532,125,61,207,372,269,288,1575,3908,left
144,163,153,516,123,50,249,423,320,304,1657,4186,left
143,157,151,535,132,68,268,480,356,381,1771,3869,left
134,132,157,537,184,109,305,518,380,417,1769,3725,left
148,156,155,540,179,114,304,519,368,410,1893,4000,left
144,157,156,543,183,115,302,509,355,397,1887,3947,left
143,169,156,546,188,113,336,598,395,454,1885,3696,left
142,157,154,561,199,122,320,599,391,477,1619,2920,left
145,166,147,552,253,160,365,669,402,519,1757,2787,left
142,153,154,559,281,204,391,703,409,539,1696,2574,left
145,154,152,565,279,199,382,702,397,540,1736,2659,left
140,157,153,549,232,167,335,603,371,453,1742,2891,left
144,161,149,555,265,190,371,650,401,480,1773,2889,left
142,161,144,551,262,187,364,660,397,497,1781,2873,left
125,157,152,556,279,192,393,734,430,569,1716,2530,left
144,154,152,572,275,219,397,715,428,563,1741,2659,left
143,154,152,568,265,210,389,703,436,564,1738,2704,left
135,163,150,550,275,199,389,706,430,553,1747,2701,left
138,160,147,572,275,208,389,693,430,550,1748,2729,left
143,157,147,570,276,192,394,699,426,553,1783,2765,left
135,157,155,571,264,193,381,684,428,547,1779,2794,left
139,155,147,574,280,200,394,691,435,546,1794,2739,left
134,155,157,577,167,113,242,445,338,365,1575,2834,left
135,160,151,582,160,89,260,430,318,357,1317,2604,left
